GOID	Ontology Source	GOTerm	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Bonferroni step down	Group PValue	Group PValue Corrected with Bonferroni step down	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0000819	GO_BiologicalProcess_05.06.2015_11h19	sister chromatid segregation	[4, 5]	[Group5]	20	15.037594	5.630168208783816E-6	1.351240370108116E-4	{Group5=2.836515125118236E-5}	{Group5=2.552863612606412E-4}	[BUB1, BUB1B, CENPE, CENPF, DSCC1, KIF14, KIF2C, MOCOS, NCAPD3, NCAPG, NDC80, NIPBL, PLK1, SMC2, SMC5, SPDL1, STRA8, TERF1, TTK, TTN]	[AKAP8, ANAPC1, ANAPC10, ANAPC11, ANAPC15, ANAPC2, ANAPC4, ANAPC5, ANAPC7, APC, ATM, BECN1, BUB1, BUB1B, BUB3, CCNB1, CDC16, CDC20, CDC23, CDC26, CDC27, CDC6, CDCA5, CDCA8, CENPE, CENPF, CEP55, CHAMP1, CHMP1A, CHMP1B, CHMP2A, CHMP2B, CHMP3, CHMP4A, CHMP4B, CHMP4C, CHMP5, CHMP6, CHMP7, CIT, CSNK2A1, CSNK2A2, CUL3, DHDDS, DIS3L2, DLGAP5, DSCC1, DUSP1, DUSP12, DYNC1LI1, ESPL1, FBXO5, GEN1, GSG2, HORMAD1, HORMAD2, INO80, KATNB1, KIF14, KIF18A, KIF18B, KIF22, KIF25, KIF2C, KIFC1, KLHL22, KNSTRN, LATS1, LCMT1, MAD1L1, MAD2L1, MAD2L2, MAU2, MEIKIN, MOCOS, MOS, NAA50, NCAPD2, NCAPD3, NCAPG, NCAPH, NDC80, NEK2, NEK6, NIPBL, NSMCE2, NUSAP1, PAPD7, PCID2, PDCD6IP, PDS5A, PDS5B, PHF13, PINX1, PLK1, POGZ, PROC, PSMG2, PSRC1, PTEN, RAB11A, RAB33B, RAD51C, RB1, RRS1, SEH1L, SGOL2, SMC1A, SMC2, SMC3, SMC4, SMC5, SPAG5, SPDL1, STIL, STRA8, TERF1, TEX14, TOP2A, TOP2B, TPR, TTK, TTN, UBE2C, UBE2D1, UBE2E1, USP44, VPS4A, VPS4B, XRCC3, ZNF207, ZW10, ZWINT]	TRUE
GO:0006664	GO_BiologicalProcess_05.06.2015_11h19	glycolipid metabolic process	[5, 6]	[Group8]	11	10.0	0.016845466397367836	0.03369093279473567	{Group8=0.0030490337010882626}	{Group8=0.0030490337010882626}	[ARSB, ARSK, CWH43, GBA2, HEXB, PIGG, PIGO, SERAC1, ST8SIA4, ST8SIA5, UGCG]	[A3GALT2, A4GALT, ALDH5A1, ARSA, ARSB, ARSD, ARSE, ARSF, ARSG, ARSH, ARSI, ARSJ, ARSK, ASAH1, ASAH2, B3GNT5, B4GALNT1, BAX, CERK, CLN3, CLN6, CPTP, CREM, CTSA, CWH43, DPM1, DPM2, DPM3, EGFL7, ENPP7, GAL3ST1, GALC, GBA, GBA2, GBA3, GBGT1, GLA, GLB1, GLTP, GM2A, GPAA1, GPLD1, HEXA, HEXB, ITGB8, KIT, LARGE, MAP7, MPPE1, MTCH1, NAGA, NAT8, NEU1, NEU2, NEU3, NEU4, PGAP1, PGAP2, PGAP3, PIGA, PIGB, PIGC, PIGF, PIGG, PIGH, PIGK, PIGL, PIGM, PIGN, PIGO, PIGP, PIGQ, PIGS, PIGT, PIGU, PIGV, PIGW, PIGX, PIGY, PIGZ, PLAUR, PNLIPRP2, PRKAA1, PRKCD, PSAP, PYURF, SERAC1, SFTPA1, SFTPA2, SMPD1, SMPD2, SMPD3, SMPD4, ST3GAL5, ST3GAL6, ST6GALNAC3, ST6GALNAC4, ST6GALNAC5, ST6GALNAC6, ST8SIA1, ST8SIA2, ST8SIA3, ST8SIA4, ST8SIA5, ST8SIA6, STS, SUMF1, UGCG, UGT8, ZNF177]	FALSE
GO:0007098	GO_BiologicalProcess_05.06.2015_11h19	centrosome cycle	[4, 5, 6, 7, 8]	[Group2]	10	14.705882	0.0014568879803597181	0.018939543744676334	{Group2=3.0103558602468105E-4}	{Group2=0.0018062135161480862}	[BRCA1, CENPJ, CEP192, CETN3, KIF11, MCPH1, PKHD1, PLK2, PLK4, TUBE1]	[ARHGEF10, AURKA, BRCA1, BRCA2, BRSK1, C2CD3, CCNF, CCP110, CDK1, CDK2, CDK5RAP2, CENPJ, CEP131, CEP135, CEP152, CEP192, CEP250, CEP63, CEP76, CETN2, CETN3, CHEK1, CHMP1A, CHMP1B, CHMP2A, CHMP2B, CHMP3, CHMP4A, CHMP4B, CHMP4C, CHMP5, CHORDC1, CNTROB, CTNNB1, FBXW5, GADD45A, GEN1, KIF11, KIF3B, MCPH1, NDE1, NDEL1, NEK2, NPM1, NUBP1, NUBP2, OFD1, PDCD6IP, PKD2, PKHD1, PLK2, PLK4, PRKD2, RAB6C, RANBP1, RBM14, ROCK2, SAC3D1, SASS6, SPICE1, STIL, TMEM67, TRIM37, TUBE1, USP33, VPS4B, XPO1, XRCC3]	FALSE
GO:0007126	GO_BiologicalProcess_05.06.2015_11h19	meiotic nuclear division	[3, 5, 6]	[Group7]	17	10.493827	0.0020990388205597323	0.01889134938503759	{Group7=9.164946955365785E-4}	{Group7=0.002749484086609736}	[ASPM, CYP26B1, DDX4, MOCOS, MSH3, MSH4, PLK1, RAD1, RAD54B, SMC2, SPO11, STRA8, SYCP2, SYCP3, TDRD12, TDRD9, TRIP13]	[ACTR2, ACTR3, APITD1, ASPM, ASZ1, ATM, ATRX, AURKA, BAG6, BHLHE40, BOLL, BRCA2, BRDT, CALR, CAMK2B, CCDC155, CCDC79, CCM2, CCNA1, CCNB1IP1, CDC20, CDC25B, CDK2, CHTF18, CKS2, CPEB1, CYP26B1, DDX4, DMC1, DMRT1, DMRTC2, DPEP3, DUSP13, EHMT2, EIF4G3, ERCC4, EREG, ESPL1, FANCA, FANCD2, FANCM, FBXO43, FBXO5, FKBP6, FMN2, FZR1, GPR3, HFM1, HID1, HORMAD1, HORMAD2, HSF1, HSPA2, ING2, ING3, INGX, KIAA0430, KLHDC3, LFNG, LIF, M1AP, MAEL, MEI1, MEI4, MEIKIN, MEIOB, MKI67, MLH1, MLH3, MOCOS, MOS, MRE11A, MSH2, MSH3, MSH4, MSH5, MSH6, MSX1, MSX2, NANOS2, NDC1, NPM2, OSM, P3H4, PDE3A, PIM2, PIWIL2, PLCB1, PLD6, PLK1, POLR1A, PRDM9, PRKAR1A, PSMD13, RAB33B, RAD1, RAD21, RAD21L1, RAD50, RAD51, RAD51B, RAD51C, RAD51D, RAD54B, RAD54L, REC8, RNASE6, RNF212, RPA1, RPS27A, RPS6KA2, RRAD, RSPO1, SGOL1, SGOL2, SIRT2, SLC2A8, SMC1A, SMC1B, SMC2, SMC3, SMC4, SPATA22, SPDYA, SPIRE1, SPIRE2, SPO11, STAG3, STRA13, STRA8, SUV39H2, SYCE1, SYCE1L, SYCE2, SYCE3, SYCP1, SYCP2, SYCP3, SYDE1, TAF1L, TDRD12, TDRD9, TDRKH, TEX11, TEX12, TEX14, TEX15, TEX40, TOP2A, TOP2B, TOP3A, TRIP13, UBB, UBC, UBE2B, UBR2, WEE2, WNT4, WNT5A, XRCC2, ZFP42, ZW10]	FALSE
GO:0007127	GO_BiologicalProcess_05.06.2015_11h19	meiosis I	[4, 5, 6, 7]	[Group7]	9	10.11236	0.02722162760666772	0.02722162760666772	{Group7=9.164946955365785E-4}	{Group7=0.002749484086609736}	[DDX4, MSH3, MSH4, RAD54B, SPO11, STRA8, SYCP2, SYCP3, TRIP13]	[APITD1, ATM, AURKA, BAG6, BHLHE40, BRCA2, BRDT, CCDC155, CCDC79, CCNA1, CCNB1IP1, CDC25B, CHTF18, CKS2, CPEB1, DDX4, DMC1, DMRT1, DMRTC2, EHMT2, EIF4G3, ERCC4, ESPL1, FANCD2, FANCM, FBXO5, FMN2, HFM1, HID1, HORMAD1, HSPA2, ING2, ING3, INGX, KLHDC3, MAEL, MEI1, MEI4, MEIKIN, MEIOB, MLH1, MLH3, MRE11A, MSH2, MSH3, MSH4, MSH5, MSH6, NDC1, P3H4, PIWIL2, PRDM9, PSMD13, RAD21, RAD21L1, RAD50, RAD51, RAD51B, RAD51C, RAD51D, RAD54B, REC8, RNF212, RPS27A, SLC2A8, SPATA22, SPO11, STAG3, STRA13, STRA8, SYCE1, SYCE1L, SYCE2, SYCE3, SYCP1, SYCP2, SYCP3, SYDE1, TEX11, TEX12, TEX15, TOP2A, TOP2B, TRIP13, UBB, UBC, UBE2B, UBR2, WEE2]	FALSE
GO:0007605	GO_BiologicalProcess_05.06.2015_11h19	sensory perception of sound	[7]	[Group1]	19	12.837838	9.050224954198152E-5	0.0019910494899235934	{Group1=4.0898453173353146E-5}	{Group1=3.2718762538682517E-4}	[ADGRV1, ALDH7A1, CDH1, COL4A3, EYA4, HEXB, LOXHD1, MARVELD2, NIPBL, OTOG, OTOGL, PTPRQ, SLC17A8, TBX1, TECTA, TMC1, TMC2, USH1C, USH2A]	[ADGRV1, ALDH7A1, AQP4, ASIC2, ATP2B2, ATP2B4, ATP6V0A4, ATP6V1B1, ATP8B1, AXIN1, BARHL1, CACNA1D, CASP3, CDH1, CDH23, CDKN1B, CDKN2D, CEACAM16, CEMIP, CHD7, CHRNA10, CHRNA9, CHRNB2, CLIC5, CLRN1, CNTN5, COCH, COL11A1, COL11A2, COL1A1, COL2A1, COL4A3, CRYM, DFNA5, DFNB31, DFNB59, DIAPH1, EML2, ESPN, EYA1, EYA4, FAM107B, FAM188B2, FAM65B, FBXO11, FGFR1, FZD4, FZR1, GABRA5, GABRB2, GABRB3, GJB2, GJB3, GJB6, GJC3, GPX1, GRM7, GRXCR1, HEXB, HOXA1, HPN, ICAM1, KCNE1, KCNQ1, KCNQ4, KIT, KPTN, LHFPL5, LOXHD1, LRIG1, LRIG2, LRTOMT, MAP1A, MARVELD2, METAP1, MKKS, MYH14, MYH7B, MYO15A, MYO1A, MYO3A, MYO6, MYO7A, NAV2, NDP, NDUFB9, NIPBL, OTOA, OTOF, OTOG, OTOGL, OTOR, OTOS, P2RX2, PAX3, PCDH15, PGAP1, POU3F4, POU4F2, POU4F3, PTPRQ, PTPRR, RPL38, SCN8A, SERPINB6, SIX1, SLC12A2, SLC17A8, SLC1A3, SLC26A4, SLC26A5, SLC52A3, SLITRK6, SNAI2, SOBP, SOD1, SOX2, SPRY2, SPTBN4, SRRM4, STRC, TBL1X, TBX1, TBX18, TECTA, TFAP2A, TH, THRB, TIMM10, TIMM13, TIMM8B, TIMM9, TJP1, TMC1, TMC2, TMIE, TMPRSS3, TMPRSS4, TPRN, TSPEAR, TUB, UCN, USH1C, USH1G, USH2A, WDR1, WFS1, ZNF354A]	FALSE
GO:0014068	GO_BiologicalProcess_05.06.2015_11h19	positive regulation of phosphatidylinositol 3-kinase signaling	[5, 6, 7, 8, 9, 10]	[None]	9	15.0	0.0021587807918319215	0.017270246334655372	{None=NaN}	{None=NaN}	[F2, FLT3, JAK2, KDR, NEDD4, PIK3AP1, SEMA4D, SEPP1, TEK]	[AGAP2, AGT, AGXT, ANGPT1, CAT, CBL, CCL5, CD28, CSF3, ERBB3, F2, F2R, F2RL1, FGFR1, FGR, FLT1, FLT3, FYN, GH1, GLYAT, GPER1, HAX1, HCLS1, HCST, HGF, IGF1, IL6, INS, JAK2, KDR, KIT, MYDGF, MYOC, NEDD4, NKX3-1, NTRK2, PDGFA, PDGFB, PDGFRA, PDGFRB, PIK3AP1, PLXNB1, PPARD, PRR5, PRR5L, PTK2, PTPN6, RARA, RELN, SELP, SEMA4D, SEPP1, SERPINA12, SOS1, SOX9, TEK, TGFB2, UBE3A, UNC5B, WNT16]	TRUE
GO:0015698	GO_BiologicalProcess_05.06.2015_11h19	inorganic anion transport	[5, 6, 7]	[Group6]	16	12.121212	6.071285571677484E-4	0.010321185471851723	{Group6=6.071285571677484E-4}	{Group6=0.0024285142286709937}	[ANO2, ANO4, ANO9, ENPP1, ENPP3, GABRD, GABRR2, GLRA2, GLRA3, ROS1, SLC12A1, SLC13A1, SLC13A4, SLC26A3, SLC26A7, SLC34A2]	[ADAMTS8, ANKH, ANO1, ANO10, ANO2, ANO4, ANO5, ANO6, ANO7, ANO8, ANO9, APOL1, AQP6, ASNA1, BEST1, BEST2, BEST3, BEST4, BSND, CA2, CA7, CFTR, CLCA1, CLCA2, CLCA3P, CLCA4, CLCC1, CLCN1, CLCN2, CLCN3, CLCN4, CLCN5, CLCN6, CLCN7, CLCNKA, CLCNKB, CLIC1, CLIC2, CLIC3, CLIC4, CLIC5, CLIC6, CLNS1A, CRY2, ENPP1, ENPP3, FGF23, FXYD1, FXYD3, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, GLRA1, GLRA2, GLRA3, GLRA4, GLRB, IP6K2, MFSD5, NMUR1, NMUR2, P2RY4, P2RY6, PCYOX1, RACGAP1, ROS1, SFRP4, SLC11A1, SLC12A1, SLC12A2, SLC12A3, SLC12A4, SLC12A5, SLC12A6, SLC12A7, SLC12A9, SLC13A1, SLC13A4, SLC17A1, SLC17A2, SLC17A3, SLC17A4, SLC17A7, SLC1A4, SLC20A1, SLC20A2, SLC25A3, SLC26A1, SLC26A10, SLC26A11, SLC26A2, SLC26A3, SLC26A4, SLC26A5, SLC26A6, SLC26A7, SLC26A8, SLC26A9, SLC34A1, SLC34A2, SLC34A3, SLC37A1, SLC37A2, SLC37A3, SLC4A1, SLC4A10, SLC4A11, SLC4A2, SLC4A3, SLC5A5, TG, TSPO, TTYH1, TTYH2, TTYH3, WNK4]	TRUE
GO:0030193	GO_BiologicalProcess_05.06.2015_11h19	regulation of blood coagulation	[4, 5, 6, 7]	[Group4]	12	12.903226	0.001646598457913713	0.018112583037050843	{Group4=0.0014738888516291917}	{Group4=0.0029477777032583833}	[ADAMTS18, CEL, F2, FAP, FGB, KNG1, PLAU, PLG, SEPP1, SYK, TC2N, TEC]	[ADAMTS18, ALOX12, ANO6, ANXA2, APOE, APOH, ASIC2, C1QTNF1, C6orf1, CAV1, CD34, CD36, CEL, CLEC4M, CNTN1, CPB2, DMTN, E9PLN8_HUMAN, EDN1, ENPP4, F11, F12, F2, F2R, F2RL1, F3, F7, FAM46A, FAP, FCER1G, FGA, FGB, FGG, FOXA2, GLMN, GP1BA, GP5, HPSE, HRG, ITGA2B, KLKB1, KNG1, KRT1, LBH, LYN, NANOS3, NFE2L2, NOS3, NR4A3, NRG1, PDGFA, PDGFB, PDGFRA, PDPN, PLAT, PLAU, PLAUR, PLEK, PLG, PRKCA, PRKCD, PRKCQ, PRKG1, PROC, PROS1, PTPRJ, RHBDF2, SCARA5, SELP, SEPP1, SERPINB2, SERPINC1, SERPINE1, SERPINE2, SERPINF2, SERPING1, STAB2, STX2, STXBP5, SYK, TC2N, TEC, THBD, THBS1, TLR4, TMPRSS6, TNDM, TSPAN8, UBASH3B, USF1, VAV2, VTN, ZNF160]	FALSE
GO:0030301	GO_BiologicalProcess_05.06.2015_11h19	cholesterol transport	[5, 6, 7]	[None]	11	14.285714	0.001097385456730735	0.01536339639423029	{None=NaN}	{None=NaN}	[ABCA13, ABCA5, ABCG5, APOB, CEL, CETP, GUCY2C, LIPC, LIPG, PTCH1, SYCP2]	[ABCA1, ABCA12, ABCA13, ABCA2, ABCA4, ABCA5, ABCA7, ABCG1, ABCG4, ABCG5, ABCG8, ADIPOQ, AKR1C1, APOA1, APOA2, APOA4, APOA5, APOB, APOC1, APOC2, APOC3, APOE, APOF, APOM, ARV1, C1D, CAV1, CD36, CEL, CETP, CFTR, CLU, CTDSP2, EGF, FAM58A, GUCY2C, HNF1A, LAMTOR1, LCAT, LDLR, LDLRAP1, LEP, LIPC, LIPG, LPAL2, LRP1, LRP6, MSR1, NFKB1, NFKBIA, NPC1, NPC1L1, NPC2, NR1H2, NR1H3, NUS1, OSBPL5, PLA2G10, PLTP, PNLIP, PON1, PPARG, PTCH1, SCARB1, SCP2, SHH, SIRT1, SOAT1, SOAT2, SREBF2, STAR, STARD3, STX12, SYCP2, TSPO, VPS4A, VPS4B]	TRUE
