ori,NewName,Species,Season,Sex,Testo,Tissue,Group,Group_tissue
150423_SD_f_Can_T14d_Ento_797L.CEL,SDfT_E_797L,CAN,SD,female,Testo,Ento,non-breeding female + T     ,non-breeding female + T     _Ento
150423_SD_f_Can_T14d_Ento_798L.CEL,SDfT_E_798L,CAN,SD,female,Testo,Ento,non-breeding female + T     ,non-breeding female + T     _Ento
150423_SD_f_Can_T14d_Ento_799L.CEL,SDfT_E_799L,CAN,SD,female,Testo,Ento,non-breeding female + T     ,non-breeding female + T     _Ento
150423_SD_f_Can_T14d_Ento_803R.CEL,SDfT_E_803R,CAN,SD,female,Testo,Ento,non-breeding female + T     ,non-breeding female + T     _Ento
150423_SD_f_Can_T14d_Ento_804R.CEL,SDfT_E_804R,CAN,SD,female,Testo,Ento,non-breeding female + T     ,non-breeding female + T     _Ento
150423_SD_f_Can_T14d_Ento_805R.CEL,SDfT_E_805R,CAN,SD,female,Testo,Ento,non-breeding female + T     ,non-breeding female + T     _Ento
150423_SD_f_Can_T14d_HVC_797L.CEL,SDfT_H_797L,CAN,SD,female,Testo,HVC,non-breeding female + T     ,non-breeding female + T     _HVC
150423_SD_f_Can_T14d_HVC_798L.CEL,SDfT_H_798L,CAN,SD,female,Testo,HVC,non-breeding female + T     ,non-breeding female + T     _HVC
150423_SD_f_Can_T14d_HVC_799L.CEL,SDfT_H_799L,CAN,SD,female,Testo,HVC,non-breeding female + T     ,non-breeding female + T     _HVC
150423_SD_f_Can_T14d_HVC_803R.CEL,SDfT_H_803R,CAN,SD,female,Testo,HVC,non-breeding female + T     ,non-breeding female + T     _HVC
150423_SD_f_Can_T14d_HVC_804R.CEL,SDfT_H_804R,CAN,SD,female,Testo,HVC,non-breeding female + T     ,non-breeding female + T     _HVC
150423_SD_f_Can_T14d_HVC_805R.CEL,SDfT_H_805R,CAN,SD,female,Testo,HVC,non-breeding female + T     ,non-breeding female + T     _HVC
151208_SD_f_Can_CTu1h_Ento_982R.CEL,SDf_E_982R,CAN,SD,female,Testo,Ento,non-breeding female,non-breeding female_Ento
151208_SD_f_Can_CTu1h_HVC_986R.CEL,SDf_H_986R,CAN,SD,female,Testo,HVC,non-breeding female,non-breeding female_HVC
160218_SD_f_Can_CTu1h_Ento_992L.CEL,SDf_E_992L,CAN,SD,female,Testo,Ento,non-breeding female,non-breeding female_Ento
160218_SD_f_Can_CTu1h_HVC_992L.CEL,SDf_H_992L,CAN,SD,female,Testo,HVC,non-breeding female,non-breeding female_HVC
160218_SD_f_Can_CTu1h_HVC_995L.CEL,SDf_H_995L,CAN,SD,female,Testo,HVC,non-breeding female,non-breeding female_HVC
160225_SD_f_Can_CTu1h_Ento_984L.CEL,SDf_E_984L,CAN,SD,female,Testo,Ento,non-breeding female,non-breeding female_Ento
