GeneSymbol,LFC.ave,regulatory.function,matrix.family,Chromosome,Coverage,Direction,Top10,ori,catogory,Group,Male_biased,Female_biased
A1CF,-0.800000012,none,,6,14,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
A1CF,-0.955,none,,6,123,2dw_LDtoNS_H_mtof,Top10.dw,LDtoNS_H_mtof,mtof,LDtoNS,0,1
A1CF,-0.935000003,none,,6,116,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
A2LD1,-0.769999981,NA,NA,1,13,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
A2M,0.610000014,none,,1,53,1up_CB_H_mtof,,CB_H_mtof,mtof,CB,1,0
A2M,0.730000019,none,,1,130,1up_SD_H_mtof,,SD_H_mtof,mtof,SD,1,0
A2M,-0.715000004,none,,1,17,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
A2M,-0.91,none,,1,371,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
A2M,-0.889999986,none,,1,355,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
A2ML1,-0.883333333,none,,1,131,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
A2ML1,-0.873333335,none,,1,386,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
A2ML1,-0.930000007,none,,1,15,2dw_SD_H_mtof,Top10.dw,SD_H_mtof,mtof,SD,0,1
A4GALT,-0.89,none,,1A,16,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
A4GALT,-0.844999999,none,,1A,17,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
A4GNT,-0.91,none,,9,20,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
A4GNT,-0.870000005,none,,9,22,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
AACS,-0.540000021,none,,15,11,2dw_FW_H_mtof,,FW_H_mtof,mtof,FW,0,1
